Chromosome	End	cM
chr6	9468457	39.886
chr6	9475321	40.514
chr6	9555379	40.792
chr6	9555419	40.792
chr6	9610920	40.884
chr6	9696548	41.328
chr6	9737871	41.654
chr6	9745043	41.698
chr6	9814493	41.698
chr6	9814541	42.001
chr6	9976291	42.001
chr6	10063425	42.808
chr6	10063472	42.809
chr6	10179025	43.299
chr6	10179046	43.601
chr6	10222288	43.895
chr6	10297170	44.723
chr6	10297178	44.723
chr6	10363865	45.324
chr6	10363919	45.324
chr6	10394708	45.324
chr6	10417065	45.431
chr6	10457529	46.532
chr6	10457539	46.532
chr6	10457551	46.532
chr6	10489669	46.834
chr6	10518129	46.834
chr6	10550205	47.137
chr6	11144884	47.137
chr6	11233668	47.439
chr6	11933590	47.439
chr6	11997536	47.741
chr6	12316704	47.741
chr6	12337997	48.043
chr6	12390538	48.043
chr6	12390599	48.044
chr6	12403194	48.647
chr6	13366648	48.647
chr6	13390737	48.949
chr6	13402841	48.949
chr6	13546947	49.251
chr6	13891608	49.251
chr6	13909537	49.553
chr6	13912676	49.553
chr6	13962758	49.856
chr6	14054175	49.856
chr7	0	0.000
chr7	410099	0.000
chr7	426386	0.302
chr7	641495	0.302
chr7	659834	0.604
chr7	708662	0.604
chr7	720528	0.906
chr7	875166	0.906
chr7	890421	1.208
chr7	920689	1.511
chr7	1109578	1.511
chr7	1129027	1.813
chr7	1171590	1.813
chr7	1171606	2.115
chr7	1244136	2.115
chr7	1442399	2.417
chr7	1486704	2.417
chr7	1509440	3.021
chr7	1516143	3.021
chr7	1603701	3.323
chr7	1648472	3.323
chr7	1774261	4.267
chr7	1849164	4.648
chr7	1849169	4.648
chr7	1886404	5.083
chr7	1901117	5.438
chr7	2031014	5.740
chr7	2143139	5.740
chr7	2262745	6.042
chr7	2262761	6.042
chr7	2262815	6.043
chr7	2288991	6.646
chr7	2289018	6.647
chr7	2289061	6.949
chr7	2304786	6.949
chr7	2325316	7.005
chr7	2415350	7.855
chr7	2415369	7.855
chr7	2460200	8.589
chr7	2470729	8.811
chr7	2471071	8.813
chr7	2587640	9.668
chr7	2587708	9.668
chr7	2623839	9.741
chr7	2729925	10.244
chr7	2735931	10.574
chr7	2735940	10.574
chr7	2887114	10.574
chr7	2889147	10.876
chr7	3280166	10.876
chr7	3392136	11.088
chr7	3439506	11.480
chr7	3439512	11.480
chr7	3480552	11.480
chr7	3530393	11.783
chr7	3541526	11.783
chr7	3697723	12.085
chr7	3718973	12.085
chr7	3805419	12.387
chr7	3857513	12.387
chr7	3958051	12.689
chr7	4276624	12.689
chr7	4276640	12.991
chr7	4280043	12.991
chr7	4403036	13.293
chr7	4407807	13.293
chr7	4411060	13.305
chr7	4478233	13.784
chr7	4567425	14.722
chr7	4592017	14.804
chr7	4679286	14.804
chr7	4714593	15.545
chr7	4757401	15.710
chr7	4764622	15.710
chr7	4805502	15.922
chr7	4822765	16.148
chr7	4844034	16.314
chr7	5013456	16.314
chr7	5020780	16.399
chr7	5030534	16.814
chr7	5039603	17.221
chr7	5557019	17.221
chr7	5592999	17.523
chr7	5593059	17.523
chr7	5661050	18.593
chr7	5718061	18.731
chr7	5718079	18.731
chr7	5750218	19.033
chr7	6035346	19.033
chr7	6120036	19.322
chr7	6123951	19.365
chr7	6160630	19.878
chr7	6170023	19.940
chr7	6170029	19.940
chr7	6170041	20.242
chr7	6204850	20.242
chr7	6269228	20.544
chr7	6269229	20.544
chr7	6460193	21.103
chr7	6493553	21.450
chr7	6493569	21.450
chr7	6546618	22.236
chr7	6582018	22.357
chr7	6738430	22.357
chr7	6753707	22.659
chr7	6753739	22.659
chr7	6767852	22.827
chr7	6804347	23.565
chr7	6804353	23.565
chr7	6876009	23.565
chr7	6876068	23.565
chr7	6876085	23.565
chr7	6953341	24.150
chr7	7013338	24.369
chr7	7083803	24.471
chr7	7223703	24.471
chr7	7302006	25.264
chr7	7315461	25.297
chr7	7346863	25.805
chr7	7349186	25.820
chr7	7388275	25.982
chr7	7466787	25.982
chr7	7615381	26.284
chr7	7747184	26.284
chr7	7795135	26.586
chr7	7807188	26.586
chr7	7807206	26.888
chr7	7925808	27.108
chr7	7934341	27.426
chr7	7970639	27.493
chr7	8191449	27.493
chr7	8226598	27.795
chr7	8233621	28.097
chr7	8792369	28.097
chr7	8840088	28.399
chr7	8984620	28.399
chr7	9069654	28.643
chr7	9089857	28.828
chr7	9117643	29.003
chr7	9125557	29.003
chr7	9273642	29.255
chr7	9281615	29.571
chr7	9303018	29.607
chr7	9315964	29.910
chr7	9374964	29.910
chr7	9380930	30.212
chr7	9493212	30.212
chr7	9517363	30.514
chr7	9742331	30.514
chr7	9742352	30.514
chr7	9784153	31.300
chr7	9811894	31.420
chr7	9967846	31.420
chr7	10037387	32.024
chr7	10040609	32.024
chr7	10128223	32.201
chr7	10190084	32.609
chr7	10293028	33.078
chr7	10293034	33.682
chr7	10402696	34.273
chr7	10466428	34.721
chr7	10540213	35.046
chr7	10586412	35.046
chr7	10586419	35.348
chr7	10586468	35.348
chr7	10678438	35.948
chr7	10679783	35.952
chr7	10823640	35.952
chr7	10842707	36.254
chr7	10846062	36.556
chr7	10847418	36.556
chr7	10860249	37.160
chr7	10860257	37.160
chr7	10896279	37.160
chr7	10984819	38.067
chr7	11017859	38.067
chr7	11055884	38.187
chr7	11055896	38.489
chr7	11154980	39.105
chr7	11154983	39.105
chr7	11154991	39.105
chr7	11331040	40.345
chr7	11331060	40.345
chr7	11331076	40.345
chr7	11404281	40.716
chr7	11479799	40.786
chr7	11550229	40.786
chr7	11664332	41.088
chr7	11877781	41.088
chr7	11878991	41.390
chr7	12171237	41.390
chr7	12359418	41.692
chr7	12359442	41.692
chr7	12361915	41.698
chr7	12492442	42.296
chr7	12492447	42.296
chr7	12492518	42.296
chr7	12513923	42.599
chr7	12637166	42.599
chr7	12685592	43.043
chr7	12819850	43.437
chr7	12872809	43.505
chr7	12872832	43.650
chr7	12872858	43.813
chr7	13191458	43.813
chr7	13208269	43.921
chr7	13285567	44.989
chr7	13289979	45.021
chr7	13382672	46.725
chr7	13386860	46.761
chr7	13471435	48.044
chr7	13488005	48.209
chr7	13507589	48.344
chr7	13507640	48.345
chr7	13536280	48.647
chr7	13536281	48.647
chr7	13536325	48.949
chr7	13600721	49.251
chr7	13822018	49.251
chr7	13822062	49.553
chr7	13859874	49.553
chr7	13978591	49.855
chr7	14061086	50.157
chr7	14308859	50.157
chr8	0	0.000
chr8	109683	0.000
chr8	120603	0.302
chr8	149492	0.302
chr8	169695	0.604
chr8	169702	1.511
chr8	193669	2.115
chr8	193674	2.115
chr8	271204	2.352
chr8	292453	2.719
chr8	292465	2.719
chr8	398458	2.719
chr8	423922	3.021
chr8	425856	3.021
chr8	446139	3.221
chr8	446146	3.826
chr8	460069	4.066
chr8	460070	4.066
chr8	487060	4.884
chr8	487082	4.884
chr8	621916	5.136
chr8	642462	5.136
chr8	654226	5.150
chr8	889089	6.404
chr8	948219	6.647
chr8	1161696	6.647
chr8	1161708	6.949
chr8	1232481	6.949
chr8	1438512	8.754
chr8	1438523	8.755
chr8	1681753	11.079
chr8	1751284	11.345
chr8	1901820	11.480
chr8	1913627	11.480
chr8	2064306	12.038
chr8	2092138	12.085
chr8	2114147	12.085
chr8	2135931	12.689
chr8	2135941	12.991
chr8	2281466	12.991
chr8	2409498	13.293
chr8	2427994	13.293
chr8	2452211	13.332
chr8	2615476	13.897
chr8	2658989	13.897
chr8	2731616	14.200
chr8	2761789	14.200
chr8	2809750	14.804
chr8	2809771	14.804
chr8	2850740	14.804
chr8	2908650	14.916
chr8	2908672	14.916
chr8	2908676	14.916
chr8	3006617	16.465
chr8	3104541	16.616
chr8	3104608	16.616
chr8	3104662	16.617
chr8	3123765	17.564
chr8	3244855	17.825
chr8	3250656	17.825
chr8	3281854	18.127
chr8	3294973	18.127
chr8	3308950	18.428
chr8	3308995	19.033
chr8	3486378	19.033
chr8	3522458	19.527
chr8	3600291	19.940
chr8	3950169	19.940
chr8	3993373	20.242
chr8	4115196	20.242
chr8	4118895	20.544
chr8	4118899	20.846
chr8	4181670	21.148
chr8	4341444	21.148
chr8	4341464	21.450
chr8	4477753	21.450
chr8	4535611	21.752
chr8	4535658	21.752
chr8	4535666	22.055
chr8	4535674	22.055
chr8	4655448	23.093
chr8	4658613	23.120
chr8	4780242	23.565
chr8	4780251	23.867
chr8	4807664	23.867
chr8	5034482	25.076
chr8	5034531	25.076
chr8	5149538	25.076
chr8	5285547	26.003
chr8	5298709	26.034
chr8	5404053	26.586
chr8	5404075	26.586
chr8	5404088	26.587
chr8	5426623	26.888
chr8	5841300	26.888
chr8	5857786	26.972
chr8	5937120	27.523
chr8	6019818	28.399
chr8	6019828	28.399
chr8	6168274	28.487
chr8	6285381	29.160
chr8	6531932	29.305
chr8	6531960	29.305
chr8	6698286	29.829
chr8	6759313	29.910
chr8	6787750	29.910
chr8	6801530	30.212
chr8	6870028	30.514
chr8	6929260	30.514
chr8	6955581	30.816
chr8	7071256	30.816
chr8	7110719	31.070
chr8	7118200	32.024
chr8	7118212	32.024
chr8	7186476	33.003
chr8	7260743	33.366
chr8	7260806	33.366
chr8	7405294	34.644
chr8	7405308	34.644
chr8	7422828	35.045
chr8	7422850	35.046
chr8	7422892	35.046
chr8	7422912	35.348
chr8	7486866	36.556
chr8	7486895	36.556
chr8	7486915	36.810
chr8	7486919	36.871
chr8	7486922	36.871
chr8	7548492	38.079
chr8	7548510	38.207
chr8	7548536	38.388
chr8	7565246	38.388
chr8	7590266	38.690
chr8	7590314	39.261
chr8	7590320	39.300
chr8	7730406	39.300
chr8	7741350	39.602
chr8	7741352	39.904
chr8	7771220	40.206
chr8	7771240	41.318
chr8	7771244	41.439
chr8	7977493	42.510
chr8	7977500	42.812
chr8	8148827	43.554
chr8	8166404	43.585
chr8	8182967	43.955
chr8	8182973	43.955
chr8	8213885	44.385
chr8	8213929	44.687
chr8	8294883	45.322
chr8	8294886	45.322
chr8	8319763	45.366
chr8	8319879	45.366
chr8	8325907	45.378
chr8	8440842	45.846
chr8	8471261	46.058
chr8	8471294	46.058
chr8	8508949	46.166
chr8	8545885	46.877
chr8	8578781	46.877
chr8	8580391	47.190
chr8	8622808	47.481
chr8	8811446	47.481
chr8	8811475	47.783
chr8	8856569	47.783
chr8	9012956	48.085
chr8	9046486	48.085
chr8	9107839	48.387
chr8	9169297	48.387
chr8	9196865	48.992
chr8	9235680	48.992
chr8	9254085	49.293
chr8	9254107	49.596
chr8	9320449	49.596
chr9	0	0.000
chr9	142318	0.000
chr9	148008	0.302
chr9	155830	0.302
chr9	283762	0.604
chr9	303503	0.604
chr9	359059	1.485
chr9	361552	1.511
chr9	361562	1.511
chr9	418507	1.813
chr9	418513	1.813
chr9	418566	2.417
chr9	418578	2.417
chr9	422895	2.719
chr9	422898	2.719
chr9	499597	2.856
chr9	591832	3.323
chr9	591880	3.323
chr9	826277	4.834
chr9	832196	4.834
chr9	875684	4.903
chr9	909145	5.258
chr9	909159	5.258
chr9	941052	5.805
chr9	958724	5.941
chr9	958728	5.941
chr9	1022581	6.196
chr9	1047627	6.256
chr9	1047628	6.558
chr9	1084412	7.855
chr9	1084438	7.855
chr9	1084443	7.855
chr9	1084458	7.855
chr9	1094242	7.906
chr9	1180598	8.963
chr9	1228801	9.064
chr9	1228853	9.064
chr9	1238619	9.366
chr9	1238648	9.366
chr9	1265091	9.970
chr9	1491297	9.970
chr9	1512343	10.465
chr9	1529858	10.897
chr9	1529873	10.897
chr9	1529910	11.501
chr9	1681156	12.545
chr9	1772229	14.199
chr9	1772247	14.199
chr9	1798852	14.199
chr9	1949596	14.502
chr9	2114559	15.710
chr9	2114589	16.616
chr9	2143029	17.522
chr9	2143055	17.523
chr9	2143056	17.523
chr9	2285665	18.743
chr9	2398282	19.230
chr9	2398294	19.230
chr9	2568721	20.606
chr9	2633453	20.807
chr9	2707285	20.846
chr9	2707296	20.846
chr9	2712059	20.986
chr9	2712069	21.289
chr9	2718921	21.490
chr9	2738098	22.093
chr9	2738118	22.093
chr9	2789532	22.802
chr9	2789557	22.802
chr9	2968837	23.743
chr9	2969075	24.697
chr9	2969139	24.958
chr9	2984802	25.315
chr9	2985492	25.317
chr9	3058346	25.382
chr9	3117161	26.241
chr9	3144283	26.498
chr9	3159786	26.590
chr9	3329591	26.841
chr9	3364197	27.195
chr9	3535514	27.195
chr9	3535528	27.497
chr9	3600510	27.497
chr9	3600567	27.497
chr9	3657605	28.101
chr9	3664393	28.101
chr9	3664411	28.403
chr9	3874524	28.969
chr9	3904703	29.007
chr9	4038349	29.007
chr9	4064702	29.078
chr9	4124325	29.539
chr9	4151344	29.612
chr9	4216524	29.914
chr9	4272328	29.914
chr9	4347149	30.216
chr9	4347155	30.518
chr9	4379372	30.820
chr9	4469700	30.820
chr9	4522712	31.424
chr9	4802623	31.424
chr9	4812929	31.726
chr9	4821125	31.726
chr9	4891164	32.559
chr9	4940853	33.237
chr9	5024553	33.237
chr9	5024619	33.539
chr9	5125029	33.539
chr9	5211037	34.143
chr9	5211102	34.143
chr9	5287882	34.445
chr9	5296216	34.481
chr9	5428104	35.472
chr9	5482609	35.949
chr9	5660989	36.232
chr9	5696049	36.258
chr9	5954915	36.258
chr9	5973539	36.671
chr9	5982139	36.938
chr9	6007669	37.164
chr9	6070966	37.164
chr9	6071014	37.467
chr9	6071038	37.467
chr9	6270661	37.769
chr9	6285925	37.769
chr9	6342210	38.373
chr9	6365650	38.373
chr9	6472105	38.675
chr9	6482000	38.675
chr9	6498920	38.977
chr9	6532285	38.977
chr9	6558037	39.040
chr9	6558075	40.249
chr9	6655384	40.675
chr9	6871509	41.092
chr9	6879459	41.092
chr9	6879461	41.394
chr9	7016018	41.696
chr9	7016060	41.696
chr9	7016070	41.696
chr9	7129171	42.904
chr9	7129226	42.905
chr9	7129487	42.905
chr9	7349007	43.207
chr9	7440436	43.207
chr9	7443272	43.509
chr9	7446957	43.509
chr9	7505890	43.811
chr9	7505928	43.811
chr9	7505939	44.113
chr9	7511092	44.113
chr9	7521758	44.517
chr9	7574126	45.019
chr9	7603875	45.289
chr9	7607416	45.619
chr9	7607469	45.624
chr9	7663764	45.624
chr9	7692659	45.926
chr9	7833929	46.360
chr9	7889246	47.186
chr9	7929743	47.224
chr9	8036468	47.928
chr9	8036472	47.928
chr9	8123312	48.311
chr9	8125868	48.313
chr9	8157311	48.645
chr9	8157324	48.645
chr9	8157340	48.947
chr9	8169732	48.947
chr9	8178922	49.319
chr9	8249022	49.853
chr9	8320959	49.853
chr9	8339503	50.156
chr9	8414032	50.156
chr9	8414056	50.458
chr9	8466963	51.222
chr9	8466966	51.222
chr9	8467042	51.222
chr9	8514114	51.666
chr9	8514123	51.666
chr9	8541210	51.968
chr9	8541259	51.968
chr9	8568194	52.270
chr9	8708747	52.270
chr10	0	0.000
chr10	392120	0.000
chr10	419858	0.304
chr10	447327	0.655
chr10	581806	0.906
chr10	846907	0.906
chr10	931428	1.396
chr10	983186	1.511
chr10	1157230	1.511
chr10	1174137	1.813
chr10	1216611	1.813
chr10	1324493	2.115
chr10	1376194	2.115
chr10	1638676	2.417
chr10	1813414	2.417
chr10	1823269	2.483
chr10	1838807	2.889
chr10	1858603	3.021
chr10	1917482	3.323
chr10	1963887	3.323
chr10	2047014	3.928
chr10	2232267	3.928
chr10	2232304	3.928
chr10	2289748	4.191
chr10	2351720	4.686
chr10	2378908	4.834
chr10	2416614	5.136
chr10	2495987	5.136
chr10	2561575	5.438
chr10	2695907	5.438
chr10	2718314	5.740
chr10	2793532	5.740
chr10	2793543	5.740
chr10	2793580	5.740
chr10	3051001	6.647
chr10	3137586	6.647
chr10	3156360	6.725
chr10	3167998	6.841
chr10	3209485	7.553
chr10	3209490	7.553
chr10	3263844	7.553
chr10	3336861	8.459
chr10	3336874	8.459
chr10	3336888	8.761
chr10	3497222	9.064
chr10	3639471	9.668
chr10	3639517	9.668
chr10	3639525	9.970
chr10	3681077	9.970
chr10	3759205	10.458
chr10	3807825	10.876
chr10	3807849	10.876
chr10	3807850	11.480
chr10	3807859	11.480
chr10	3911322	11.783
chr10	4013218	12.189
chr10	4084739	13.279
chr10	4207278	13.595
chr10	4324973	13.595
chr10	4339045	13.667
chr10	4443486	14.501
chr10	4443502	14.613
chr10	4443531	14.810
chr10	4473770	14.810
chr10	4515908	15.112
chr10	4599022	15.415
chr10	4638487	15.415
chr10	4638490	15.717
chr10	4666203	15.717
chr10	4666270	15.717
chr10	4691487	16.321
chr10	4796035	16.925
chr10	4796046	17.831
chr10	4801036	17.831
chr10	4854917	18.134
chr10	4876046	18.134
chr10	4876052	18.738
chr10	4876096	18.738
chr10	4910401	19.102
chr10	5042821	19.342
chr10	5162585	19.342
chr10	5225374	19.605
chr10	5234854	19.678
chr10	5310913	19.946
chr10	5310960	19.946
chr10	5346051	20.551
chr10	5380793	20.853
chr10	5778134	21.155
chr10	5785433	21.155
chr10	5808830	21.457
chr10	5808840	22.061
chr10	5860321	22.210
chr10	5913283	22.665
chr10	5958432	23.058
chr10	6063516	23.270
chr10	6063570	23.270
chr10	6070037	23.448
chr10	6074528	23.591
chr10	6074562	23.591
chr10	6092229	23.971
chr10	6139135	24.176
chr10	6204404	24.176
chr10	6204414	24.478
chr10	6223864	24.478
chr10	6323712	24.780
chr10	6353472	24.780
chr10	6353564	25.082
chr10	6397273	25.082
chr10	6467133	25.687
chr10	6485242	25.687
chr10	6684937	26.593
chr10	6883829	26.593
chr10	6934898	26.895
chr10	7026255	26.895
chr10	7031987	27.197
chr10	7031989	27.197
chr10	7200363	27.801
chr10	7289291	27.801
chr10	7372597	28.103
chr10	7559494	28.103
chr10	7559514	28.103
chr10	7725588	28.570
chr10	7742049	28.587
chr10	7808562	28.955
chr10	7864129	29.010
chr10	7892174	29.010
chr10	7997915	29.312
chr10	8114073	29.312
chr10	8142084	29.916
chr10	8355380	29.916
chr10	8362313	30.218
chr10	8404068	30.218
chr10	8524598	30.520
chr10	8583035	30.520
chr10	8602242	30.822
chr10	8665743	30.822
chr10	8737137	31.125
chr10	8857154	31.125
chr10	9075066	31.427
chr10	9076598	31.430
chr10	9230181	32.031
chr10	9363231	32.031
chr10	9396001	32.333
chr10	9432943	32.333
chr10	9521920	32.635
chr10	9538243	32.635
chr10	9604871	32.937
chr10	9850085	32.937
chr10	9852767	33.239
chr10	10173209	33.239
chr10	10174157	33.542
chr10	10174174	33.542
chr10	10214540	33.634
chr10	10214573	33.937
chr10	10305526	34.146
chr10	10577239	34.146
chr10	10590163	34.749
chr10	10590220	34.750
chr10	10660238	34.947
chr10	10697543	35.354
chr10	10946258	35.354
chr10	11047089	35.656
chr10	11099089	35.656
chr10	11111999	36.261
chr10	11321007	36.261
chr10	11343972	36.563
chr10	12434098	36.563
chr10	12465958	36.865
chr10	12644622	37.469
chr10	12644624	37.551
chr10	12644632	37.799
chr10	12684426	37.901
chr10	12735970	38.335
chr10	12762341	38.403
chr10	12799924	38.403
chr10	12799954	38.705
chr10	13022027	40.062
chr10	13037932	40.116
chr10	13155456	40.216
chr10	13190364	40.518
chr10	13385379	40.518
chr10	13480818	40.820
chr10	13501860	40.820
chr10	13501877	40.820
chr10	13527818	42.000
chr10	13585232	42.606
chr10	13632345	43.234
chr10	13632393	43.234
chr10	13633451	43.237
chr10	13645422	43.237
chr10	13645484	43.539
chr10	13841254	43.841
chr10	13858746	43.841
chr10	13858768	43.841
chr10	13858769	43.841
chr10	13969869	44.666
chr10	14032967	44.962
chr10	14103372	45.049
chr10	14132090	45.049
chr10	14204045	45.352
chr10	14251855	45.352
chr10	14251856	45.654
chr10	14263032	45.956
chr10	14272877	46.258
chr10	14327798	46.258
chr10	14344664	46.904
chr10	14448808	47.164
chr10	14488152	47.164
chr10	14504433	47.768
chr10	14504442	47.768
chr10	14537668	48.071
chr10	14822581	48.071
chr10	14861168	48.477
chr10	14890466	48.556
chr10	14934556	48.719
chr10	15060016	48.845
chr10	15179103	49.539
chr10	15191810	49.581
chr10	15223232	49.581
chr10	15250887	49.883
chr10	15332064	49.883
chr10	15332075	50.185
chr10	15690388	50.185
chr10	15695976	50.488
chr10	15886673	50.488
chr10	15922114	50.790
chr10	15999869	50.790
chr10	16044993	51.092
chr10	16134375	51.092
chr10	16168884	51.394
chr10	16630841	51.394
chr10	16653053	51.696
chr10	16863853	51.696
chr10	16903779	51.845
chr10	16903815	52.147
chr10	16944670	52.300
chr10	16944711	52.300
chr10	17027155	52.378
chr10	17051117	52.703
chr10	17187801	52.833
chr10	17263611	53.207
chr10	17375146	53.207
chr10	17492570	53.509
chr10	17503097	53.509
chr10	17568775	53.811
chr10	17965481	53.811
chr11	0	0.000
chr11	57234	0.000
chr11	68435	0.025
chr11	155029	0.524
chr11	190294	0.604
chr11	190304	0.604
chr11	195426	0.671
chr11	213462	1.208
chr11	213483	1.208
chr11	250578	1.511
chr11	274108	1.511
chr11	294384	1.813
chr11	309631	2.453
chr11	420963	2.719
chr11	428056	2.719
chr11	438845	3.377
chr11	472243	3.543
chr11	488741	3.928
chr11	528360	4.230
chr11	528367	4.230
chr11	544102	4.834
chr11	578410	5.136
chr11	588277	5.136
chr11	594497	5.479
chr11	634511	6.042
chr11	634531	6.042
chr11	634554	6.042
chr11	642605	6.344
chr11	642612	6.344
chr11	654375	6.949
chr11	741670	7.108
chr11	820378	7.553
chr11	820380	7.553
chr11	820401	7.553
chr11	897462	7.855
chr11	935352	7.855
chr11	942984	8.157
chr11	1070984	8.157
chr11	1107781	8.459
chr11	1257470	8.459
chr11	1257473	8.459
chr11	1372126	9.540
chr11	1441290	10.795
chr11	1441315	10.796
chr11	1441366	10.796
chr11	1463014	10.822
chr11	1507730	11.178
chr11	1732808	11.783
chr11	1797052	11.783
chr11	1797170	12.085
chr11	1896047	12.991
chr11	1896061	12.991
chr11	1896065	13.092
chr11	1896075	13.313
chr11	1989815	13.313
chr11	2017788	13.918
chr11	2157111	13.918
chr11	2157115	13.918
chr11	2282820	14.522
chr11	2336044	14.522
chr11	2336050	14.824
chr11	2407560	14.926
chr11	2470275	15.620
chr11	2670258	15.906
chr11	2722707	16.283
chr11	2758340	16.636
chr11	2758350	16.637
chr11	2835609	16.637
chr11	2835611	16.939
chr11	2835621	16.939
chr11	2905537	17.241
chr11	2928374	17.241
chr11	2943276	17.543
chr11	3232816	17.543
chr11	3273099	17.700
chr11	3310323	18.147
chr11	3435070	18.147
chr11	3455125	18.449
chr11	3498658	18.583
chr11	3553352	18.855
chr11	3599397	18.942
chr11	3658501	19.356
chr11	3848277	19.356
chr11	3848319	19.658
chr11	3956249	19.658
chr11	4171368	19.960
chr11	4250477	19.960
chr11	4250483	20.262
chr11	4704208	20.262
chr11	4737065	20.564
chr11	4784472	20.564
chr11	4841126	20.866
chr11	4864508	20.866
chr11	4929894	21.168
chr11	5015252	21.168
chr11	5074559	21.930
chr11	5074574	21.930
chr11	5128899	22.237
chr11	5128976	22.539
chr11	5175793	22.679
chr11	5175818	22.679
chr11	5195098	22.726
chr11	5297014	23.275
chr11	5300249	23.283
chr11	5331145	23.283
chr11	5366391	23.585
chr11	5366392	23.585
chr11	5443527	23.887
chr11	5484506	23.887
chr11	5522908	24.189
chr11	5526812	24.189
chr11	5552239	25.398
chr11	5579734	25.398
chr11	5608487	25.700
chr11	5608521	25.700
chr11	5665420	26.304
chr11	5879291	26.304
chr11	5879336	26.304
chr11	5895810	26.401
chr11	6033667	27.431
chr11	6085225	27.815
chr11	6217167	28.083
chr11	6233647	28.419
chr11	6233650	28.419
chr11	6286552	28.441
chr11	6463637	28.817
chr11	6714182	29.090
chr11	6755777	29.500
chr11	6912309	29.909
chr11	6912321	29.909
chr11	6960912	30.000
chr11	7119693	30.232
chr11	7150015	30.232
chr11	7169635	30.534
chr11	7175536	30.534
chr11	7193747	30.835
chr11	7193817	30.837
chr11	7223318	31.138
chr11	7351082	31.138
chr11	7358953	31.466
chr11	7411446	31.634
chr11	7445172	32.045
chr11	7647854	32.045
chr11	7687373	32.347
chr11	7766995	32.347
chr11	7866098	32.649
chr11	7915530	32.649
chr11	7999829	32.951
chr11	7999835	32.951
chr11	7999845	33.555
chr11	8097506	33.555
chr11	8097513	33.555
chr11	8097540	33.857
chr11	8141755	34.602
chr11	8286379	35.366
chr11	8286391	35.366
chr11	8286427	35.374
chr11	8287683	35.673
chr11	8287689	35.674
chr11	8287698	35.674
chr11	8407172	36.348
chr11	8407207	36.348
chr11	8480697	36.879
chr11	8592863	36.879
chr11	8654602	36.981
chr11	8709218	37.374
chr11	8774966	37.885
chr11	8803684	37.928
chr11	8908810	38.389
chr11	8908811	38.389
chr11	8942893	38.389
chr11	8962034	38.692
chr11	8962063	38.692
chr11	9035959	38.994
chr11	9053865	39.598
chr11	9053919	39.598
chr11	9138266	40.100
chr11	9181277	40.630
chr11	9241448	40.886
chr11	9272971	40.928
chr11	9321295	41.101
chr11	9408122	41.713
chr11	9408131	41.713
chr11	9487266	42.015
chr11	9612698	42.015
chr11	9612703	42.015
chr11	9708693	42.905
chr11	9710562	42.917
chr11	9734240	42.989
chr11	9734242	43.291
chr11	9770678	43.402
chr11	9811204	43.828
chr11	9860568	43.828
chr11	9892561	44.859
chr11	9892590	44.860
chr11	9937432	45.338
chr11	9937492	45.338
chr11	9959551	45.338
chr11	10065734	45.640
chr11	10065744	45.640
chr11	10066579	45.644
chr11	10217035	46.546
chr11	10217072	46.547
chr11	10623845	46.547
chr11	10652290	46.579
chr11	10662915	46.894
chr11	10767797	47.015
chr11	10876284	47.442
chr11	10885753	47.453
chr11	11034662	47.453
chr11	11066190	47.755
chr11	11089006	48.902
chr11	11094862	48.974
chr11	11256280	49.266
chr11	11284155	49.266
chr11	11300702	49.360
chr11	11337368	49.733
chr11	11367863	49.870
chr11	11377725	49.870
chr11	11392744	50.172
chr11	11392764	50.172
chr11	11406203	50.474
chr11	11508165	50.474
chr11	11543056	50.776
chr11	11561495	50.776
chr11	11667024	51.078
chr11	11671448	51.380
chr11	11759272	51.380
chr12	0	0.000
chr12	120207	0.000
chr12	243339	0.604
chr12	433958	0.604
chr12	436754	0.906
chr12	718461	0.906
chr12	722372	1.552
chr12	722376	1.552
chr12	725349	2.417
chr12	874959	2.417
chr12	895859	2.719
chr12	1003053	2.719
chr12	1006489	3.021
chr12	1087985	3.021
chr12	1212093	3.323
chr12	1212115	3.323
chr12	1278416	3.626
chr12	1278489	3.626
chr12	1518463	3.928
chr12	1518527	3.928
chr12	1598889	4.230
chr12	1708939	4.230
chr12	1736240	4.532
chr12	1744432	4.532
chr12	1785041	4.944
chr12	1825301	5.052
chr12	1825330	5.354
chr12	1856408	5.740
chr12	2184127	5.740
chr12	2197587	6.042
chr12	2249866	6.042
chr12	2325414	6.345
chr12	2325435	6.345
chr12	2537873	6.647
chr12	2711508	6.647
chr12	2737116	7.155
chr12	2749091	7.251
chr12	2785701	7.251
chr12	2785741	7.251
chr12	3021464	7.855
chr12	3021497	7.855
chr12	3294947	7.855
chr12	3336814	8.157
chr12	3575976	8.157
chr12	3591961	8.459
chr12	3647726	8.459
chr12	3647753	8.762
chr12	4274387	8.762
chr12	4335842	9.064
chr12	4624998	9.064
chr12	4698961	9.366
chr12	4747168	9.366
chr12	4747186	9.668
chr12	4953592	9.668
chr12	4984637	9.970
chr12	5199743	9.970
chr12	5338168	10.272
chr12	5420131	10.272
chr12	5425583	10.574
chr12	5465564	10.574
chr12	5490023	10.876
chr12	5490034	10.876
chr12	5490053	11.178
chr12	5490058	11.178
chr12	5490065	11.178
chr12	5490072	11.481
chr12	5741065	11.783
chr12	5792816	11.783
chr12	5813556	12.084
chr12	5813596	12.387
chr12	5971463	12.387
chr12	6034591	12.991
chr12	6034606	12.991
chr12	6300317	12.991
